feature_id,label_lite,label_score_lite,label_advance,label_score_advance
215,"Analyst sentiment and market signals, specific reference: Citi",0.8999999700317358,Financial product or investment type mention detection,0.17854361236095428
180,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.9837198401880767,Conjunctions or prepositions used frequently,0.17311115562915802
272,"Valuation ratios, specific reference: RIVN",0.927280685020901,Financial product or investment name detection,0.17096249759197235
116,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.8439617504799786,Stock market sentiment and entity detection,0.15150226652622223
94,"M&A activity, specific reference: Merck",0.7624060765218916,Financial jargon and technical terms detection,0.1409725695848465
375,"Profit beats and analyst sentiment, specific reference: BK",0.6433564480870057,Financial transaction or payment mention detection,0.12627381086349487
351,"Macro headlines, specific reference: Jerome Powell",0.527360956820788,Financial term abbreviation detection,0.1209363341331482
311,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.8174753482788899,Financial reporting terminology and phrase usage patterns,0.11763764172792435
374,"Investor sentiment and stock splits, specific reference: ADBE",0.7165442112059448,Financial market sentiment indicator,0.10898477584123611
192,"Valuation ratios, specific reference: P/E",0.6886785339559344,This feature likely represents a component of the model that,0.10802853852510452
11,"Valuation ratios, specific reference: ADBE",0.7786606760969526,Punctuation usage patterns,0.1046857163310051
296,"Valuation ratios, specific reference: price-to-earnings",0.7391504390448823,Financial phrase completion patterns,0.09150169044733047
6,"Analyst sentiment, specific reference: Stock Advisor",0.6058727999369011,Financial numbers and related terms detection,0.08039739727973938
160,"Post-earnings reactions, specific reference: BNY Mellon",0.6883362457607034,Financial jargon indicator,0.07454568892717361
130,"Post-earnings reactions, specific reference: Reality Labs",0.5214169187091795,Term length or duration indicator,0.060557782649993896
90,"Interest rates and Fed commentary, specific reference: Fed Vice Chairman Philip Jefferson",0.5328060011921777,Geographic or temporal context indicator,0.05601600557565689
24,"Analyst sentiment, specific reference: The Motley Fool",0.44819804253343654,Financial dependency or reliance indicator,0.05280996114015579
257,"Valuation ratios, specific reference: TSLA",0.6106328167717932,This feature likely captures patterns related to specific events or,0.04861711710691452
137,"Macroeconomic indicators, specific reference: SEC",0.4697358705606066,Financial entity abbreviation detection,0.043312523514032364
7,"Valuation ratios, specific reference: P/E",0.5936944657998251,Technical jargon and industry terminology detection,0.04296502098441124
144,"Interest rate volatility, specific reference: Jerome Powell",0.1896557150024651,Financial phrase structure detection,0.041617345064878464
333,Analyst Sentiment and Market Movements,0.3122041904551273,Financial entity mentions and relationships,0.040799304842948914
309,Analyst sentiment and stock performance,0.33222357355232257,Adverbial phrase detection,0.0391373410820961
398,Market guidance and IPO expectations,0.4305975968903808,Financial investment strategy sentiment analysis,0.03859477490186691
165,"Dividend yield discussions, specific reference: S&P 500",0.5533441895455562,Dividend and earnings growth indicators,0.03784284368157387
246,Analyst sentiment and market commentary,0.422791526803871,Stock Exchange Listing Information,0.035989996045827866
133,"Earnings growth and adjustments, specific reference: MLP",0.4688390964285684,Timeframe-related word patterns detection,0.0346711240708828
291,"Analyst Adjustments and Stock Performance, specific reference: RIVN",0.5118052100762085,Financial phrase completion or continuation detection,0.032324012368917465
399,"Market Manipulation and Regulatory Concerns, specific reference: SEC",0.23495460159685627,Punctuation patterns indicating sentence structure,0.031706489622592926
53,"Profitability concerns and innovation spending, specific reference: Reality Labs",0.43416384088620563,Prepositional phrase detection,0.03144262358546257
355,"Fed commentary, specific reference: Philip Jefferson",0.23378170667428064,Transition word detection,0.03131511062383652
119,Valuation ratios and dividend yields,0.45505054773782677,Preposition usage patterns in investment contexts,0.030070073902606964
244,Dividend yields and post-earnings reactions,0.4796995723849243,Financial event or news trigger word detection,0.02995295822620392
302,"Revenue sources and guidance, specific reference: company",0.3007055224372691,Platform-related terminology detection,0.028620198369026184
389,"Post-earnings reactions, specific reference: EPS",0.55007589801888,Governance-related phrases and sentence structures,0.02841010130941868
314,Analyst Sentiment and Market Manipulation,0.2747003673415705,Timeframe or duration mention detection,0.028284791857004166
326,Interest rate uncertainty and market signals,0.47375998605456004,Conjunctions or short phrases with low semantic value,0.027970999479293823
102,"Valuation ratios, specific reference: price-to-earnings",0.44847121119719474,Year or date detection,0.027874639257788658
